Start to run test case: Concur1M1
Run test step: 0_Log_in_Concur ... Successful
Run test step: 1_Optional_agree_cookies ... Successful
Run test step: 2_Back_to_old_login_page ... Successful
Run test step: 3_Input_user_name ... Successful
Run test step: 4_Input_password ... Successful
Run test step: 5_Click_login ... Successful
Run test step: 6_Click_expense ... Successful
Run test step: 7_Click_create_new_report ... Successful
Run test step: 8_Input_a_random_report_ID ... Successful
Run test step: 9_Input_cost_center_ID ... Successful
Run test step: 10_Click_cost_center ... Successful
Run test step: 11_Click_next ... Successful
Run test step: 12_Click_cancel ... Successful
Run test step: 13_Click_add_expense ... Successful
Run test step: 14_Search_expense_type ... Successful
Run test step: 15_Select_breakfast_type ... Successful
Run test step: 16_Input_current_date ... Successful
Run test step: 17_Option_select_1 ... Successful
Run test step: 18_Option_select_2 ... Successful
Run test step: 19_Input_transaction_amount ... Successful
Run test step: 20_Click_receipt_type ... Successful
Run test step: 21_Click_option_R ... Successful
Run test step: 22_Click_save_expense ... Successful
Run test step: 23_Click_submit ... Successful
Run test step: 24_Click_accept_and_continue ... Successful
Run test step: 25_Click_submit_report ... Successful
Run test step: 26_Open_S4_website ... Successful
Run test step: 27_Input_S4_username_concur_expert ... Successful
Run test step: 28_Input_S4_password ... Successful
Run test step: 29_Click_login ... Successful
Run test step: 30_Click_setup_Concur_integration_app ... Successful
Run test step: 31_Click_Financial_Posting_drop_down ... Successful
Run test step: 32_Click_Concur_Document ... Successful
Run test step: 33_Check_if_first_row_is_selected ... Successful
Run test step: 35_Select_first_row ... Successful
Run test step: 36_Click_feedback_loop ... Successful
Run test step: 37_Click_step_by_step ... Successful
Run test step: 38_Click_import_document ... Successful
Run test step: 39_Click_Enter ... Successful
Run test step: 40_Check_if_first_row_is_selected ... Successful
Run test step: 42_Select_first_row ... Successful
Run test step: 43_Click_feedback_loop ... Successful
Run test step: 44_Click_step_by_step ... Successful
Run test step: 45_Click_send_acknowledge ... Successful
Run test step: 46_Check_if_first_row_is_selected ... Successful
Run test step: 48_Select_first_row ... Successful
Run test step: 49_Click_feedback_loop ... Successful
Run test step: 50_Click_step_by_step ... Successful
Run test step: 51_Click_Post ... Successful
Run test step: 52_Check_if_first_row_is_selected ... Successful
Run test step: 54_Select_first_row ... Successful
Run test step: 55_Click_feedback_loop ... Successful
Run test step: 56_Click_step_by_step ... Successful
Run test step: 57_Click_send_confirmation ... Successful
Run test step: 58_Open_S4_website ... Successful
Run test step: 59_Input_username_AP_ACCOUNTANT ... Successful
Run test step: 60_Input_password ... Successful
Run test step: 61_Click_login ... Successful
Run test step: 62_Close_auth_popup ... Successful
Run test step: 63_Click_search_button ... Successful
Run test step: 64_Search_app_Post_Outgoing_Payments ... Successful
Run test step: 65_Enter_app ... Successful
Run test step: 66_Input_journal_entry_date ... Successful
Run test step: 67_Input_Value_Date ... Successful
Run test step: 68_Input__G_L_Account ... Successful
Run test step: 69_Input_Amount ... Successful
Run test step: 70_Input_supplier ... Successful
Run test step: 71_Search_report_item ... Successful
Run test step: 72_Press_ENTER ... Successful
Run test step: 73_Clear_amount ... Successful
Run test step: 74_Click_post ... Failed
